id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments
11bs8l4oXFWTktWkXmtvg2,Kaga To Ud Gaya,Alka Yagnik,['Alka Yagnik'],0.537,0.622,6,-10.153,0,0.892,0.00218,0.129,0.802,120.455,316533,3,212,12,1188
4n5vaqluWQjCrKr4JLZIRh,Tere Dar Par Sanam - Male Version,Kumar Sanu,['Kumar Sanu'],0.51,0.44,2,-16.345,1,0.445,3.98E-06,0.241,0.665,82.454,368867,4,126,15,1405
6ttvgWnBAt72SIojbcnlKn,Ajnabi Mujhko Itna Bata,Jatin-Lalit,"['Jatin-Lalit', 'Asha Bhosle', 'Udit Narayan']",0.535,0.727,5,-4.532,0,0.768,3.86E-05,0.0713,0.621,98.23,373800,4,151,10,1341
6yTtUUlsBXN9h9ZxTxGWMS,Bahut Pyar Karte Hai - Male Version,S. P. Balasubrahmanyam,['S. P. Balasubrahmanyam'],0.505,0.518,4,-12.073,0,0.229,0,0.17,0.751,123.8,185400,4,91,10,625
30yySOIXHZYx94sLAySy2j,Dil Se Re,A.R. Rahman,"['A.R. Rahman', 'Anuradha', 'Anupama']",0.844,0.442,9,-16.54,1,0.00882,0.000498,0.0879,0.436,105.986,405707,4,177,14,1722
29aXjacS6WBOnNHjKp7S4e,Megha Re Megha,Lata Mangeshkar,"['Lata Mangeshkar', 'Ila Arun']",0.456,0.595,6,-12.332,1,0.742,0,0.208,0.739,99.796,267907,4,108,11,900
1usJKPPaZ3J5XZFai2x98X,Ae Ajnabi,Udit Narayan,"['Udit Narayan', 'Mahalakshmi Iyer']",0.726,0.323,11,-12.599,0,0.588,0,0.0951,0.481,121.958,349493,4,175,17,1234
20UvuxJ3vf2aDJjaNpgZZt,Kuch Kuch Hota Hai - Sad,Alka Yagnik,['Alka Yagnik'],0.229,0.327,7,-14.188,1,0.707,0.0014,0.0654,0.122,146.384,87733,4,49,4,277
5L9fLNHSj5SuGvJRljdWJb,Koi Mil Gaya,Kavita Krishnamurthy,"['Kavita Krishnamurthy', 'Udit Narayan', 'Alka Yagnik']",0.7,0.687,2,-9.292,1,0.503,1.20E-05,0.057,0.815,136.028,437693,4,246,18,1732
0dAWzBAbFmlag9RHW6urfn,Ghar Aaja Pardesi,Pamela Chopra,"['Pamela Chopra', 'Manpreet Kaur']",0.342,0.559,0,-10.503,0,0.846,8.17E-06,0.07,0.492,90.496,451840,4,166,22,1647
0kGackDOW4tY8WZrUtQDHG,Ye Kaali Kaali Aankhen,Kumar Sanu,"['Kumar Sanu', 'Anu Malik']",0.836,0.701,0,-10.905,1,0.109,2.69E-05,0.103,0.821,121.836,468293,4,223,18,1744
4Ujq2kyqN7XhUVL3poxF43,Sajde Na Kiye Maine,Vinod Rathod,"['Vinod Rathod', 'Sadhana Sargam']",0.387,0.8,6,-5.309,0,0.805,0.00252,0.364,0.655,87.569,432000,4,154,24,1619
3G7qmEFRlTcSwMtb5m2CSn,Shehar Ki Pariyon,Udit Narayan,"['Udit Narayan', 'Sadhana Sargam']",0.582,0.449,7,-13.331,0,0.803,4.91E-06,0.184,0.758,87.527,317179,3,151,12,1203
4OhfGiEADfXzLA8Tr7CtYS,Akeli Mein Aayi,Alisha Chinai,['Alisha Chinai'],0.58,0.876,0,-8.38,1,0.603,0.000403,0.451,0.707,178.421,432000,3,405,14,1692
17okP544kN9LplIdJ6E3qN,Mere Sanam,Sadhana Sargam,"['Sadhana Sargam', 'Udit Narayan']",0.653,0.851,7,-7.636,0,0.334,0.0367,0.135,0.886,129.969,350000,4,187,21,1635
6O67k5Tj6ty5Ug97IX58Y2,Chudiyan Khanak Gayeen,Lata Mangeshkar,"['Lata Mangeshkar', 'Ila Arun']",0.341,0.525,1,-14.295,0,0.697,0,0.251,0.773,91.509,360333,4,137,14,1307
78UC4S8u0bDAej8HklCNCE,Yeh Hai Pyar Pyar,Asha Bhosle,"['Asha Bhosle', 'Kumar Sanu']",0.589,0.38,5,-14.457,0,0.685,0,0.114,0.564,149.11,294000,4,178,14,1067
0LdJcUxGJywXLcxdXZ4wsb,Mere Khwabon Mein Tu,Alka Yagnik,"['Alka Yagnik', 'Kumar Sanu']",0.712,0.741,7,-7.971,0,0.179,2.78E-06,0.078,0.54,114.975,335000,4,157,15,1275
